url_length,special_char_count,has_https,contains_suspicious_words,directory_count,repeated_char_count,contains_at_symbol,query_param_count,subdomain_count,has_ip,uses_shortener,shannon_entropy,relative_entropy,status
54,9,False,False,5,1,False,0,2,False,False,3.452819531114783,2.6263452721477396,0
22,5,True,False,3,0,False,0,1,False,False,3.180832987205441,1.886176696323287,0
56,13,False,False,3,1,False,0,2,False,False,2.732914563979398,3.5343317824625524,0
96,19,False,False,8,1,False,0,3,False,False,3.6421498816369025,2.461170483129006,0
232,21,False,True,7,1,False,3,3,False,False,2.8150724101159437,4.242872860586572,1
23,6,True,False,3,0,False,0,2,False,False,3.182005814760214,2.695212136644652,1
66,8,True,False,3,0,False,1,2,False,False,3.327819531114783,2.148085591326629,1
90,19,False,False,8,1,False,0,2,False,False,3.2195282822995477,2.7991061296385373,0
231,20,True,True,6,0,False,3,2,False,False,3.6753108689123644,1.3320297482373302,1
20,5,True,False,3,0,False,0,1,False,False,2.845350936622437,2.3884302260664563,1
30,6,False,False,3,1,False,0,2,False,False,3.6635327548042538,2.0246952758971184,0
61,9,False,False,4,0,False,0,2,False,False,3.3680424225727146,1.877396229934712,0
29,7,False,False,3,0,False,0,2,False,False,3.630412660873998,1.964642161338572,1
25,6,False,False,3,1,False,0,2,False,False,3.292770193936991,2.571378456311623,0
67,9,False,False,4,1,False,0,2,False,False,3.689703732199547,1.701556494244366,0
114,18,False,False,5,1,False,0,2,False,False,3.6464393446710153,1.9609940676194395,0
68,7,True,False,4,0,False,0,2,False,False,3.663532754804254,1.9382568693323439,1
25,6,False,False,3,1,False,0,2,False,False,3.454822399946607,2.2476405603664,0
99,14,True,True,10,0,False,0,1,False,False,3.09306920777189,1.9864493218338297,1
38,7,False,False,3,1,False,0,1,False,False,3.641249800455479,1.1872837833337306,1
158,27,False,True,8,0,False,2,2,False,False,3.990705473685233,1.1938705837400678,1
21,4,False,False,2,0,False,0,1,False,False,3.6644977792004623,1.2790336088389131,0
81,14,False,False,7,1,False,0,3,False,False,2.9852281360342525,3.7347087327741435,0
